amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
113-1454728-2569065	113-1454728-2569065	2019-12-09T04:33:46+00:00	2019-12-09T04:33:49+00:00	Pending	Amazon	Amazon.com			SecondDay	Desiderare 35" x 23" Christmas Door Mats Rubber Backing Non Slip - Heavy Duty Doormats for High Traffic Areas - Shoe Scraper Pet Mat - Indoor Outdoor	DL-DQ-60-90	B07VW6HLVP	Unshipped	1	USD	34.55								PHOENIX	AZ	85044-0619	US		false		
114-0734122-4382637	114-0734122-4382637	2019-12-09T02:33:14+00:00	2019-12-09T02:34:43+00:00	Pending	Amazon	Amazon.com			Expedited	Desiderare Thick Fluffy Washroom Mat - 31" x 19" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back(Moro	1-mc-18	B07JJC4NTT	Unshipped	2	USD	79.98								PORTLAND	OR	97223-9375	US		false		
114-0734122-4382637	114-0734122-4382637	2019-12-09T02:33:14+00:00	2019-12-09T02:34:43+00:00	Pending	Amazon	Amazon.com			Expedited	Desiderare Thick Fluffy Microfiber Bath Mat - 31" x 19" Anti-Fatigue Shaggy Comfort Bath Rug - Super Absorbent Bathroom Carpet - Non-Slip Luxury Plus	YSD-NIW-50-80	B07VW6J6N5	Unshipped	1	USD	39.99								PORTLAND	OR	97223-9375	US		false		
114-0734122-4382637	114-0734122-4382637	2019-12-09T02:33:14+00:00	2019-12-09T02:34:43+00:00	Pending	Amazon	Amazon.com			Expedited	Desiderare Thick Fluffy Washroom Mat - 31" x 19" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back (Mor	1-mwh-18	B07JJ3HGSN	Unshipped	1	USD	39.99								PORTLAND	OR	97223-9375	US		false		
111-4706864-9750633	111-4706864-9750633	2019-12-08T23:08:23+00:00	2019-12-09T06:59:11+00:00	Pending	Amazon	Amazon.com			Expedited	2 Piece Non-slip Anti-Fatigue Kitchen Mat - (17.7" x 29.5"+17.7" x 59") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroo	P0-YVWS-B6V6	B07JMDZBSR	Unshipped	1	USD	49.99	3.62							CHICO	CA	95928-6472	US		false		
111-6874525-7910612	111-6874525-7910612	2019-12-08T20:45:42+00:00	2019-12-08T20:47:24+00:00	Pending	Amazon	Amazon.com			Expedited	Desiderare 35" x 23" Christmas Door Mats Rubber Backing Non Slip - Heavy Duty Doormats for High Traffic Areas - Shoe Scraper Pet Mat - Indoor Outdoor	DL-DQ-60-90	B07VW6HLVP	Unshipped	1	USD	34.55								SALEM	OR	97306-3529	US		false		
113-7630868-2574645	113-7630868-2574645	2019-12-08T16:59:04+00:00	2019-12-09T10:26:25+00:00	Shipped	Amazon	Amazon.com			Expedited	Desiderare 35" x 23" Christmas Door Mats Rubber Backing Non Slip - Heavy Duty Doormats for High Traffic Areas - Shoe Scraper Pet Mat - Indoor Outdoor	DL-DQ-60-90	B07VW6HLVP	Shipped	1	USD	34.55	3.07							BRONX	NY	10465-1263	US		false		
113-2654990-9549059	113-2654990-9549059	2019-12-08T16:57:55+00:00	2019-12-09T10:26:49+00:00	Shipped	Amazon	Amazon.com			Expedited	Desiderare 35" x 23" Christmas Door Mats Rubber Backing Non Slip - Heavy Duty Doormats for High Traffic Areas - Shoe Scraper Pet Mat - Indoor Outdoor	DL-DQ-60-90	B07VW6HLVP	Shipped	1	USD	34.55	3.07							BRONX	NY	10465-1263	US		false		
113-7677227-8332252	113-7677227-8332252	2019-12-08T16:47:51+00:00	2019-12-09T09:56:16+00:00	Shipped	Amazon	Amazon.com			Expedited	Desiderare 35" x 23" Christmas Door Mats Rubber Backing Non Slip - Heavy Duty Doormats for High Traffic Areas - Shoe Scraper Pet Mat - Indoor Outdoor	DL-DQ-60-90	B07VW6HLVP	Shipped	1	USD	34.55	2.07							PHILADELPHIA	PA	19138-2509	US		false		
111-8880204-8218620	111-8880204-8218620	2019-12-08T13:23:13+00:00	2019-12-08T21:47:14+00:00	Pending	Amazon	Amazon.com			Expedited	Desiderare Thick Fluffy Washroom Mat - 31" x 19" Luxury Microfiber Non-Slip Rubber Bath Rug - Super Absorbent Bathroom Carpet with Anti-Skid Back(Moro	1-mc-18	B07JJC4NTT	Unshipped	1	USD	39.99	4.04							Seattle	Washington	98112	US		false		
